"","layer_OBJECTID","ldensity"
"Admiralty Islands lowland rain forests",2,4.0974917821114
"Aegean and Western Turkey sclerophyllous and mixed forests",3,2.13331596527082
"Afghan Mountains semi-desert",4,1.30248547521061
"Ahklun and Kilbuck Upland Tundra",5,0.977186366941075
"Al-Hajar foothill xeric woodlands and shrublands",6,0.777874727210317
"Al-Hajar montane woodlands and shrublands",7,0.759580174873787
"Alai-Western Tian Shan steppe",8,1.6117677865496
"Alashan Plateau semi-desert",9,0.463267443958331
"Alaska-St. Elias Range tundra",10,0.633686524205738
"Alaska Peninsula montane taiga",11,1.71320577037012
"Albany thickets",12,2.95334229676252
"Alberta-British Columbia foothills forests",13,1.86421750985489
"Albertine Rift montane forests",14,1.47547851157093
"Aldabra Island xeric scrub",15,1.08302391180798
"Aleutian Islands tundra",16,1.84050212615075
"Allegheny Highlands forests",17,3.14616602870839
"Alps conifer and mixed forests",18,2.46642781775555
"Altai alpine meadow and tundra",19,1.71548985598458
"Altai montane forest and forest steppe",20,1.4546657063152
"Altai steppe and semi-desert",21,1.94369241997949
"Alto Paraná Atlantic forests",22,2.96502991730754
"Amazon-Orinoco-Southern Caribbean mangroves",23,2.95309228707746
"Amur meadow steppe",25,1.91768844789713
"Anatolian conifer and deciduous mixed forests",26,2.1610548492277
"Andaman Islands rain forests",27,2.74517811949172
"Angolan montane forest-grassland",28,1.89044088368986
"Angolan mopane woodlands",29,1.94002555730349
"Angolan scarp savanna and woodlands",30,1.59672727070173
"Angolan wet miombo woodlands",31,1.55318109302441
"Appalachian-Blue Ridge forests",33,3.46165336032365
"Appalachian mixed mesophytic forests",34,3.52347164518471
"Appalachian Piedmont forests",35,3.39146333337869
"Appenine deciduous montane forests",36,2.09104132905453
"Apure-Villavicencio dry forests",37,2.70759930310593
"Arabian sand desert",38,0.422137324741384
"Araucaria moist forests",39,2.91306273146247
"Araya and Paria xeric scrub",40,2.95907106025888
"Arctic coastal tundra",41,-0.416250895572695
"Russian Arctic desert",42,-0.482022188667833
"Arctic foothills tundra",43,-0.324673473197806
"Arizona Mountains forests",44,2.31608968883798
"Arnhem Land tropical savanna",45,3.01581550533565
"Atacama desert",47,0.23848318791909
"Atlantic Coast restingas",48,2.7889888881731
"Saharan Atlantic coastal desert",49,0.650535863983308
"Atlantic coastal pine barrens",50,3.87323238446442
"Congolian coastal forests",51,0.0750922889069491
